manual_review
sofifa_id,statsbomb_id,statsbomb_name,statsbomb_name_norm,short_name,long_name,player_positions,club_name,shooting,attacking_heading_accuracy,preferred_foot,weak_foot
205983,31911.0,{'Damjan Đoković'},damjan okovic,D. Đoković,Damjan Đoković,"CM, LM",GFC Ajaccio,60,62,Left,3
232068,32722.0,{'Norbert Sándor Balogh'},norbert sandor balogh,N. Balogh,Norbert Sándor Balogh,ST,Palermo FC,57,64,Right,3
183870,34565.0,{'Anthony Mounier'},anthony mounier,A. Mounier,Anthony Mounier,"RW, LW",Bologna FC,71,65,Left,2
198213,37212.0,{'Leandro Damião da Silva dos Santos'},leandro damiao da silva dos santos,Leandro Damião,Leandro Damião da Silva dos Santos,ST,Real Betis Balompié,76,80,Right,2
5879,38389.0,{'Alberto Gilardino'},alberto gilardino,A. Gilardino,Alberto Gilardino,ST,Palermo FC,73,81,Right,3
120238,40367.0,{'Francesco Lodi'},francesco lodi,F. Lodi,Francesco Lodi,"CDM, CM",Udinese Calcio,69,59,Left,3
192302,40473.0,{'Artoms Rudņevs'},artoms rudnevs,A. Rudnevs,Artjoms Rudņevs,ST,Hamburger SV,74,74,Right,4
225123,40822.0,"{""Daniel Arnaud N''Di\t""}",daniel arnaud n'di,D. Ndi,Daniel Arnaud Ndi,CAM,Real Sporting de Gijón,62,49,Right,3
232116,45685.0,{'Sébastien Antoine Luc Salles Lamonge'},sebastien antoine luc salles lamonge,S. Salles-Lamonge,Sébastien Antoine Luc Salles-Lamonge,CAM,Stade Rennais,48,47,Right,3
225450,75899.0,{'Kevin Toner'},kevin toner,K. Toner,Kevin Stephen Toner,"CB, LB",Aston Villa,34,61,Left,3
179563,106683.0,{'Saïdi Ntibazonkiza'},saidi ntibazonkiza,S. Ntibazonkiza,Saïdi Ntibazonkiza,"RW, LM",Stade Malherbe Caen,64,41,Right,3
99835,128704.0,{'Emmanuel Emenike'},emmanuel emenike,E. Emenike,Emmanuel Chinenye Emenike,"ST, RM",West Ham United,74,70,Right,4
205406,386514.0,{'Luca Martinelli'},luca martinelli,L. Martinelli,Luca Martinelli,CB, Empoli,26,60,Right,3
164,386657.0,{'Giampiero Pinzi'},giampiero pinzi,G. Pinzi,Giampiero Pinzi,"CM, CDM",Chievo Verona,69,68,Right,3
49617,387300.0,{'Cristian Zaccardo'},cristian zaccardo,C. Zaccardo,Cristian Zaccardo,"CB, RB",Carpi,47,72,Right,3
158738,387832.0,{'Filippo Porcari'},filippo porcari,F. Porcari,Filippo Porcari,"CM, CDM",Carpi,57,57,Right,3
232072,398941.0,{'Vasyl Pryyma'},vasyl pryyma,V. Pryyma,Vasyl Pryyma,CB,Frosinone,30,61,Right,2
150451,401471.0,{'Henri Bienvenu Ntsama'},henri bienvenu ntsama,H. Bienvenu,Henri Bienvenu Ntsama,"ST, CF",ESTAC Troyes,65,68,Right,2
