player_id,statsbomb_name,statsbomb_name_norm,fifa_player_name,fifa_name_norm,match_score
23663.0,Dieumerci Mbokani Bezua,dieumerci mbokani bezua,Bojan,bojan,72.0
31296.0,Sébastien Aymar Bassong Nguena,sebastien aymar bassong nguena,Sébastien Bassong,sebastien bassong,85.5
31296.0,Sébastien Aymar Bassong Nguena,sebastien aymar bassong nguena,Sébastien Pocognoli,sebastien pocognoli,85.5
31296.0,Sébastien Aymar Bassong Nguena,sebastien aymar bassong nguena,Sebastián Coates,sebastian coates,66.66666666666667
31296.0,Sébastien Aymar Bassong Nguena,sebastien aymar bassong nguena,Glen Kamara,glen kamara,65.45454545454547
3666.0,Robert Kenedy Nunes do Nascimento,robert kenedy nunes do nascimento,Kenedy,kenedy,90.0
3666.0,Robert Kenedy Nunes do Nascimento,robert kenedy nunes do nascimento,Robert Huth,robert huth,85.5
11012.0,Jonathan Grant Evans,jonathan grant evans,Nathan,nathan,90.0
11012.0,Jonathan Grant Evans,jonathan grant evans,Conor Grant,conor grant,85.5
11012.0,Jonathan Grant Evans,jonathan grant evans,Grant Ward,grant ward,85.5
11012.0,Jonathan Grant Evans,jonathan grant evans,Jonathan Leko,jonathan leko,85.5
11012.0,Jonathan Grant Evans,jonathan grant evans,Jonny Evans,jonny evans,85.5
6800.0,Carles Gil de Pareja Vicent,carles gil de pareja vicent,Carles Gil,carles gil,90.0
6800.0,Carles Gil de Pareja Vicent,carles gil de pareja vicent,Ritchie De Laet,ritchie de laet,85.5
6800.0,Carles Gil de Pareja Vicent,carles gil de pareja vicent,Kevin De Bruyne,kevin de bruyne,85.5
6800.0,Carles Gil de Pareja Vicent,carles gil de pareja vicent,De Gea,de gea,85.5
6800.0,Carles Gil de Pareja Vicent,carles gil de pareja vicent,Siem de Jong,siem de jong,85.5
30702.0,Brendan Joel Zibusiso Galloway,brendan joel zibusiso galloway,Joel Campbell,joel campbell,85.5
30702.0,Brendan Joel Zibusiso Galloway,brendan joel zibusiso galloway,Joel Ward,joel ward,85.5
30702.0,Brendan Joel Zibusiso Galloway,brendan joel zibusiso galloway,Brendan Galloway,brendan galloway,85.5
30702.0,Brendan Joel Zibusiso Galloway,brendan joel zibusiso galloway,Joel Robles,joel robles,85.5
30702.0,Brendan Joel Zibusiso Galloway,brendan joel zibusiso galloway,Joel Taylor,joel taylor,85.5
3726.0,Gerard Deulofeu Lázaro,gerard deulofeu lazaro,Deulofeu,deulofeu,90.0
3265.0,José Luis Sanmartín Mato,jose luis sanmartin mato,José Enrique,jose enrique,85.5
3265.0,José Luis Sanmartín Mato,jose luis sanmartin mato,José Fonte,jose fonte,85.5
3265.0,José Luis Sanmartín Mato,jose luis sanmartin mato,Jose Holebas,jose holebas,85.5
3265.0,José Luis Sanmartín Mato,jose luis sanmartin mato,Joselu,joselu,75.00000000000001
3265.0,José Luis Sanmartín Mato,jose luis sanmartin mato,Martin Smith,martin smith,70.43478260869566
3534.0,Clinton Mua N''Jie,clinton mua n''jie,Clinton N'Jié,clinton n'jie,83.87096774193549
7063.0,Jefferson Antonio Montero Vite,jefferson antonio montero vite,Antonio Valencia,antonio valencia,85.5
7063.0,Jefferson Antonio Montero Vite,jefferson antonio montero vite,Jefferson Montero,jefferson montero,85.5
7063.0,Jefferson Antonio Montero Vite,jefferson antonio montero vite,Michail Antonio,michail antonio,85.5
43695.0,Brede Hangeland,brede hangeland,Gabriele Angella,gabriele angella,70.96774193548387
43695.0,Brede Hangeland,brede hangeland,Angeliño,angelino,67.5
16003.0,Fernando Francisco Reges,fernando francisco reges,Fernando,fernando,90.0
