location,player,player_id,position,shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle
"[108.0, 40.1]",Alexandre Rodrigues da Silva,25351.0,Center Forward,0,0,0.7835,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,108.0,40.1,12.000416659433121,36.867749161537496
"[111.3, 33.9]",Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,0,1,0.1916607,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,111.3,33.9,10.625441167311598,35.688411737008856
"[103.8, 25.1]",Oscar dos Santos Emboaba Júnior,40122.0,Left Wing,0,0,0.05906998,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,103.8,25.1,22.010224896624752,15.464481155572686
"[89.2, 40.9]",Jordan Ayew,3450.0,Left Wing,0,1,0.020560699,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,89.2,40.9,30.813146544940842,14.78691025240715
"[101.4, 28.3]",Alexandre Rodrigues da Silva,25351.0,Center Forward,0,0,0.07401829,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,101.4,28.3,21.97384809267598,17.678740958111643
"[117.4, 47.8]",Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,0,1,0.5402729,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,117.4,47.8,8.22192191643778,21.95440185841737
"[96.5, 40.9]",Ashley Westwood,3583.0,Left Center Midfield,0,1,0.041788258,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,96.5,40.9,23.517227727774376,19.29280237750841
"[108.0, 46.7]",Jordan Ayew,3450.0,Right Wing,0,0,0.10008983,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,108.0,46.7,13.743725841270265,29.0419405559899
"[91.6, 38.1]",Ashley Westwood,3583.0,Left Center Midfield,0,1,0.034477107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,91.6,38.1,28.46348538039571,15.965022995749772
"[89.1, 25.5]",Branislav Ivanović,5594.0,Left Center Back,0,0,0.008527353,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,89.1,25.5,34.13297525853849,12.141129072668138
"[106.7, 45.7]",Abdul Rahman Baba,12325.0,Left Midfield,0,1,0.14737196,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,106.7,45.7,14.469968901141424,28.820119375919834
"[112.4, 29.6]",Jack Grealish,9638.0,Left Wing,0,1,0.10705608,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,112.4,29.6,12.88099375048369,22.074996069534507
